text	label
If you or Spotify terminate the Agreements, or if Spotify suspends your access to the Spotify Service, you agree that Spotify shall have no liability or responsibility to you and Spotify will not refund any amounts that you have already paid, to the fullest extent permitted under applicable law.	potentially unfair
(g) immediately, if required due to a change in laws/regulation by a regulator or authority with a lawful mandate, or by any of Skype’s partners;	potentially unfair
12.6 Subject to paragraphs 12.3 - 12.5 above, Skype’s total liability to you under or in connection with these Terms (whether in contract, tort (including negligence) or any other theory of liability)) SHALL NOT EXCEED IN AGGREGATE THE AMOUNT PAID BY YOU FOR THE PRODUCTS IN THE 12 MONTH PERIOD IMMEDIATELY PRIOR TO THE DATE OF THE EVENT GIVING RISE TO THE RELEVANT CLAIM, SUBJECT TO A MAXIMUM OF FIVE THOUSAND EUROS IN ALL CASES.	potentially unfair
This section shall not deprive you of any mandatory consumer protections under the law of the country to which we direct Services to you, where you have your habitual residence.	clearly fair
Applicable law Any ticket sold or arrangement entered into on behalf of the passenger is on the condition that the laws of England shall apply to the contract arising and to the determination of the rights and liabilities of the respective parties and that no action or other proceedings shall be brought by either party in relation to the contract or for damages independent of such contract except in a court of competent jurisdiction in England.	clearly unfair
Skyscanner may in its absolute discretion immediately terminate any agreement with you under these Terms at any time upon notice to you and/or, if you have a log-in account, by cancelling your membership and your access to your account and removing any User Content you have uploaded to our Services or Platforms.	clearly unfair
You acknowledge that breaching Travel Provider Terms could result in the cancellation of tickets or reservations, revocation of frequent flier miles and other benefits, and additional charges.	potentially unfair
We are not responsible or liable for (and have no obligation to verify) any wrong or misspelled email address or inaccurate or wrong (mobile) phone number or credit card number.	potentially unfair
If you have paid for a Premium Service, Grindr will give you at least 30 days’ notice of termination of Your access to the Grindr Services or any User Account unless Your profile content or Your conduct within the Grindr Services violates Our Terms of Service or You have otherwise breached this Agreement, in which case Grindr may suspend or terminate Your access to the Grindr Services or any User Account immediately.	potentially unfair
If you are a consumer in the EEA, you can sue us in your home courts.	clearly fair
We retain the right, in our sole discretion, to implement new elements as part of and/or ancillary to the Service, including changes that may affect the previous mode of operation of the Service or Evernote Software.	potentially unfair
You agree that Grindr will not be responsible or liable for any loss or damage of any sort incurred as the result of any such dealings or as the result of the presence of such advertisers on the Grindr Services.	potentially unfair
2.7 By placing an order with us, you agree to and accept these terms, as well as our privacy policy and the terms of website use.	potentially unfair
You agree that any termination of Your access to the Grindr Services or any User Account You may have or portion thereof may be effected without prior notice (except as provided in Section 11.4 below), and You agree that Grindr will not be liable to You or any third party for any such termination and refunds will only be given where expressly provided in this Agreement (including Section 11.5 below).	potentially unfair
This content is the sole responsibility of the entity that makes it available.	potentially unfair
If you are using the Services for a personal purpose, then nothing in these terms or any additional terms limits any consumers’ legal rights which may not be waived by contract.	clearly fair
Although we will use reasonable skill and care in performing our Trip Service, we will not verify if, and cannot guarantee that, all information is accurate, complete or correct, nor can we be held responsible for any errors (including manifest and typographical errors), any interruptions (whether due to any (temporary and/or partial) breakdown, repair, upgrade or maintenance of our Platform or otherwise), inaccurate, misleading or untrue information or non-delivery of information.	potentially unfair
Skyscanner has no responsibility whatsoever for any arrangements you make with any third party as a result of your use of our Services or Platforms (including, without limitation, any Travel Provider).	potentially unfair
"If you are a consumer and habitually reside in a Member State of the European Union, the laws of that Member State will apply to any claim, cause of action, or dispute you have against us that arises out of or relates to these Terms or the Facebook Products (""claim""), and you may resolve your claim in any competent court in that Member State that has jurisdiction over the claim."	clearly fair
Garmin may modify these Terms of Use at any time by updating this posting.	potentially unfair
If you're a consumer in the EEA, we don’t exclude or limit any liability for gross negligence, intent, or death or personal injury caused by our negligence or willful misconduct.	clearly fair
IF YOU ARE A RESIDENT OF THE UNITED KINGDOM AND SUBJECT TO THE ALTERNATIVE DISPUTE RESOLUTION DIRECTIVE (2013/11/EU) AND THE ONLINE DISPUTE RESOLUTION REGULATION (EU 524/2013) (AND ANY IMPLEMENTING REGULATIONS IN EACH MEMBER STATE OF THE EU), THE AGREEMENT TO ARBITRATE IN SECTION 21 WILL NOT APPLY TO YOU BUT THE PROVISIONS OF SECTION 21.8 (JUDICIAL FORUM FOR LEGAL DISPUTES) WILL APPLY, EXCEPT AS OTHERWISE REQUIRED BY LAW.	clearly fair
Unless you are subject to the Arbitration Agreement set out below, and subject to any applicable laws, if a claim arises between you and Evernote where the total value of such claim is less than US$10,000, the party initiating the claim may elect to have the dispute resolved pursuant to a binding arbitration process that does not require attendance in person.	potentially unfair
By using this website or its content, whether directly or through a third party, you agree to be legally bound by and act in accordance with these Terms of Use.	potentially unfair
You acknowledge and agree that the relevant Trip Provider is solely responsible and assumes all responsibility and liability in respect of the Trip (including any warranties and representations made by the Trip Provider).	potentially unfair
It is Garmin's policy, at its discretion and when appropriate, to terminate the accounts of users who may infringe or repeatedly infringe the copyrights of third parties.	potentially unfair
Further, you and Spotify agree to the jurisdiction of the courts listed below to resolve any dispute, claim, or controversy that arises in connection with the Agreements (and any non-contractual disputes/claims arising out of or in connection with them). (	clearly unfair
Occasionally we may, in our discretion, make changes to the Agreements.	potentially unfair
This means we may add new product features or enhancements from time to time as well as remove some features, and if these actions do not materially affect your rights or obligations, we may not provide you with notice before taking them.	potentially unfair
By continuing to use or access the Services after the updates come into effect, you agree to be bound by the revised Terms.	potentially unfair
If you use any such software development kit or API (as applicable) you agree that you have read and will comply with the applicable licensing terms, which are available on http://developer.skype.com/.	potentially unfair
Terravision is not liable for losses, damages or costs incurred by passengers due to service delays or cancellations.	potentially unfair
You and Dropbox agree that any judicial proceeding to resolve claims relating to these Terms or the Services will be brought in the federal or state courts of San Francisco County, California, subject to the mandatory arbitration provisions below.	clearly unfair
Spotify and/or the owners of any Content may, from time to time, remove any such Content without notice to the extent permitted by applicable law.	potentially unfair
You agree to submit to the exclusive personal jurisdiction of the courts located within São Paolo-SP, Brasil (and, for the avoidance of doubt, to exclude the jurisdiction of any other court) for the purpose of litigating all such claims or disputes.	clearly fair
18.9 These Terms other than paragraph 20.3 shall be governed by and interpreted in accordance with the laws of Luxembourg and shall be subject to the jurisdiction of the courts of the district of Luxembourg.	clearly unfair
YOU AGREE THAT THE LIMITATIONS OF LIABILITY SET FORTH IN THIS SECTION WILL SURVIVE ANY TERMINATION OR EXPIRATION OF THIS AGREEMENT AND, TO THE EXTENT PERMITTED BY LAW, WILL APPLY EVEN IF ANY LIMITED REMEDY SPECIFIED HEREIN IS FOUND TO HAVE FAILED OF ITS ESSENTIAL PURPOSE.	potentially unfair
Skyscanner may suspend your access and use in whole or in part without notice at any time, for example to prevent you from uploading any User Content, without incurring any liability to you whatsoever.	clearly unfair
If you live in the EEA, Switzerland, Brazil, Hong Kong, Mexico or Russia, (i) this Agreement is between you and EA Swiss SÃ rl, a company registered in the Geneva Companies Registry with company registration number: CH-660-2328005-8 and with offices at 8 Place du Molard, 1204 Geneva, Switzerland; (ii) the laws of your country of residence govern this Agreement and your use of EA Services; and (iii) you expressly agree that exclusive jurisdiction for any claim or action arising out of or relating to this Agreement or EA Services shall be the courts of your country of residence.	clearly fair
Although the information contained on this site is as updated and correct as possible, Terravision may not be held liable for losses or damages, direct or indirect, due to this information.	potentially unfair
We reserve the right to cancel User Accounts that have been inactive for more than one (1) year.	potentially unfair
Skype takes no responsibility for any disruption, interruption or delay caused by any failure of or inadequacy in any of these items or any other items over which we have no control.	potentially unfair
These terms and conditions and the provision of our services shall be governed by and construed in accordance with Dutch law.	potentially unfair
Ryanair will not be held liable for any losses and/or damages arising from the use of this website or of any other website to which this website provides a link, and/or from the use of information presented on this or any such other website.	potentially unfair
We may amend this Agreement (including any policies, such as the Privacy Policy , Acceptable Use Policy, Copyright Policy, and Trademark Policy that are incorporated into this Agreement) at any time, in our sole discretion.	potentially unfair
Terravision is not liable to passengers who did not reserve their trip.	potentially unfair
When permitted by law, Google and Google’s suppliers and distributors will not be responsible for lost profits, revenues or data, financial losses or indirect, special, consequential, exemplary or punitive damages.	potentially unfair
that any such party submits to the sole and exclusive jurisdiction of the Courts of the Republic of Ireland and to the application of the law in that jurisdiction (except as otherwise provided by mandatory consumer law provisions), including any party accessing such information or facilities on their own behalf or on behalf of others.	clearly unfair
FOR RESIDENTS OF CERTAIN COUNTRIES, YOU AGREE TO THE ARBITRATION AGREEMENT AND CLASS ACTION WAIVER DESCRIBED IN SECTION 15 TO RESOLVE ANY DISPUTES WITH EA.	potentially unfair
For example, we may deactivate your account due to prolonged inactivity, and we may reclaim your username at any time for any reason.	clearly unfair
Both you and LinkedIn may terminate this Contract at any time with notice to the other.	clearly unfair
IF YOU ARE A RESIDENT OF ANY OF THE COUNTRIES NOTED IN THE SPECIAL TERMS, YOU MAY HAVE ADDITIONAL RIGHTS OR CERTAIN PARTS OF THIS AGREEMENT, SUCH AS THE ARBITRATION AGREEMENT, MAY NOT APPLY TO YOU.	clearly fair
We may also modify our prices effective prospectively upon reasonable notice to the extent allowed under the law.	potentially unfair
You and Spotify agree that any dispute, claim, or controversy between you and Spotify arising in connection with or relating in any way to these Agreements or to your relationship with Spotify as a user of the Service (whether based in contract, tort, statute, fraud, misrepresentation, or any other legal theory, and whether the claims arise during or after the termination of the Agreements) will be determined by mandatory binding individual arbitration.	potentially unfair
THE COLLECTIVE LIABILITY OF MOZILLA AND THE INDEMNIFIED PARTIES UNDER THIS AGREEMENT WILL NOT EXCEED $500 (FIVE HUNDRED DOLLARS).	potentially unfair
If you are a consumer in the EEA, this won’t deprive you of any protection you have under the law of the country where you live and access to the courts in that country.	clearly fair
We reserve the right to remove or modify User Content, or change the way it’s used in Pinterest, for any reason.	clearly unfair
(v)conduct of third party Emergency Services operatives and calling centres to which you may be connected.	potentially unfair
The right to use the number and the cancellation of such right rest with the Skype Manager administrator at his/her sole discretion and not you.	clearly unfair
Although Tinder reserves the right to review and remove Content that violates this Agreement, such Content is the sole responsibility of the member who posts it, and Tinder cannot guarantee that all Content will comply with this Agreement.	potentially unfair
You understand and agree that Mozilla reserves the right, at its discretion, to review, modify, or remove any Submission that it deems is objectionable or in violation of these Terms.	potentially unfair
Both you and Dropbox consent to venue and personal jurisdiction in such courts.	clearly unfair
6.2 We do not accept liability for any consequential loss of profit or indirect losses.	potentially unfair
We may decide to discontinue the Services in response to unforeseen circumstances beyond Dropbox’s control or to comply with a legal requirement.	potentially unfair
Skype reserves the right to change the terms related to Skype Numbers and/or Skype To Go numbers, including without limitation to impose or amend any residency requirements and/or require the provision of further user information for continued access to such numbers.	potentially unfair
Except where our dispute is being resolved pursuant to an arbitration (as provided below), if you are a resident of the United States or Canada, you agree that any claim or dispute you may have against Evernote must be resolved exclusively by a state or federal court located in San Mateo County, California.	clearly unfair
YOU EXPRESSLY UNDERSTAND AND AGREE THAT EVERNOTE, ITS SUBSIDIARIES, AFFILIATES, SERVICE PROVIDERS, AND LICENSORS, AND OUR AND THEIR RESPECTIVE OFFICERS, EMPLOYEES, AGENTS AND SUCCESSORS SHALL NOT BE LIABLE TO YOU FOR ANY DIRECT, INDIRECT, INCIDENTAL, SPECIAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES, INCLUDING BUT NOT LIMITED TO, DAMAGES FOR LOSS OF PROFITS, GOODWILL, USE, DATA, COVER OR OTHER INTANGIBLE LOSSES (EVEN IF EVERNOTE HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES) RESULTING FROM: (i) THE USE OR THE INABILITY TO USE THE SERVICE OR TO USE PROMOTIONAL CODES OR EVERNOTE POINTS; (ii) THE COST OF PROCUREMENT OF SUBSTITUTE SERVICES RESULTING FROM ANY DATA, INFORMATION OR SERVICE PURCHASED OR OBTAINED OR MESSAGES RECEIVED OR TRANSACTIONS ENTERED INTO THROUGH OR FROM THE SERVICE; (iii) UNAUTHORIZED ACCESS TO OR THE LOSS, CORRUPTION OR ALTERATION OF YOUR TRANSMISSIONS, CONTENT OR DATA; (iv) STATEMENTS OR CONDUCT OF ANY THIRD PARTY ON OR USING THE SERVICE, OR PROVIDING ANY SERVICES RELATED TO THE OPERATION OF THE SERVICE; (v) EVERNOTE’S ACTIONS OR OMISSIONS IN RELIANCE UPON YOUR BASIC SUBSCRIBER INFORMATION AND ANY CHANGES THERETO OR NOTICES RECEIVED THEREFROM; (vi) YOUR FAILURE TO PROTECT THE CONFIDENTIALITY OF ANY PASSWORDS OR ACCESS RIGHTS TO YOUR ACCOUNT; (vii) THE ACTS OR OMISSIONS OF ANY THIRD PARTY USING OR INTEGRATING WITH THE SERVICE; (viii) ANY ADVERTISING CONTENT OR YOUR PURCHASE OR USE OF ANY ADVERTISED OR OTHER THIRD-PARTY PRODUCT OR SERVICE; (ix) THE TERMINATION OF YOUR ACCOUNT IN ACCORDANCE WITH THE TERMS OF THESE TERMS OF SERVICE; OR (x) ANY OTHER MATTER RELATING TO THE SERVICE.	potentially unfair
Any false or fraudulent reservation is prohibited, and any user who attempts such a reservation may have his or her TripAdvisor membership terminated.	potentially unfair
YOU MAY RECOVER ONLY DIRECT DAMAGES IN ANY AMOUNT NO GREATER THAN WHAT YOU ACTUALLY PAID FOR THE APPLICABLE EA SERVICE.	potentially unfair
Google may also stop providing Services to you or add or create new limits to our Services at any time.	clearly unfair
If you don’t pay for your Paid Account on time, we reserve the right to suspend it or reduce your storage to free space levels.	potentially unfair
In no event will Snap Group Limited, Snap Inc., or their affiliates’ aggregate liability for all claims relating to the Services exceed the greater of £100 GBP or the amount you paid Snap Group Limited, if any, in the last 12 months.	potentially unfair
