text1	text2	label
Instead , bond bulls focus on the fact the Fed has done nothing to dispel market expectations of an easing , either in speeches or through the press .	Still , bond bulls can take comfort in the fact the Fed has done nothing to dispel market expectations of an easing , either in speeches or through the press .	equivalent
Under the NBC proposal , Vivendi would merge its U.S. film and TV business with NBC 's broadcast network , Spanish-language network and cable channels including CNBC and Bravo .	Under a deal with General Electric 's NBC , Vivendi 's film and TV business would merge with NBC 's broadcast network , Spanish- language network and cable channels including CNBC and Bravo .	equivalent
""" In 1980 , 6 % of children aged six to 18 were overweight , "" he said ."	From 1976 to 1980 , it said , 6 percent of children ages 6 to 18 were overweight .	equivalent
I never organised a youth camp for the diocese of Bendigo .	"I never attended a youth camp organised by that diocese . """	not_equivalent
Winners will be announced in a June 8 ceremony broadcast on CBS from Radio City Music Hall .	Tony winners will be announced June 8 in televised ceremonies from Radio City Music Hall .	equivalent
"But he added : "" You can 't win elections by looking in the rearview mirror . """	""" You can 't win elections by looking through the rear view mirror , "" he said ."	equivalent
The Nasdaq composite index fell 2.95 , or 0.2 percent , for the week to 1,912.36 after stumbling 37.78 yesterday .	The Nasdaq eased 0.15 percent for the week after two consecutive up weeks .	not_equivalent
Also at increased risk are those whose immune systems suppressed by medications or by diseases such as cancer , diabetes and AIDS .	Also at increased risk are those with suppressed immune systems due to illness or medicines .	equivalent
"RT Jones analyst Juli Niemann said Grant was "" the one we were all pulling for ."	"He has a very good reputation , "" RT Jones analyst Juli Niemann said of Grant ."	not_equivalent
Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .	Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .	equivalent
Freeman 's civil hearing may be , on the surface , about a driver 's license .	Freeman said not having a driver license has been a burden .	not_equivalent
The technology-laced Nasdaq Composite Index .IXIC edged up 2.84 points , or 0.18 percent , at 1,593.59 .	The broader Standard & Poor 's 500 Index .SPX added 1.14 points , or 0.12 percent , at 968.14 .	not_equivalent
The board is investigating whether a shortage of funds in the shuttle program compromised safety .	The board is investigating whether this compromised safety on the shuttle .	equivalent
Senate passage of the Medicare bill was almost certain , possibly as early as today .	Senate passage of the Medicare bill is almost certain Monday .	equivalent
Darren Dopp , a Spitzer spokesman , declined to comment late Thursday .	John Heine , a spokesman for the commission in Washington , declined to comment on Mr. Spitzer 's criticism .	not_equivalent
CS 's other main division , Financial Services , made a 666 million franc net profit , six percent below the prior quarter .	CS Financial Services made a 666 million franc net profit , six percent less than in the fourth quarter of last year .	equivalent
Malpractice victims say limits on damage payouts make it less likely lawyers will take cases , meaning access to justice could be denied .	Limits on damages make it less likely lawyers will take expensive cases , meaning access to justice is denied , they say .	equivalent
"Klitschko said : "" I 'm excited to box in Los Angeles first and then against Lennox Lewis ."	""" I am excited to be fighting in Los Angeles and on HBO , "" Klitschko said ."	not_equivalent
State health officials said Monday a young northeast Kansas woman likely has the state 's first case of monkeypox among humans or animals .	Health officials confirmed Tuesday that a northeast Kansas woman has the state 's first case of monkeypox and the first case west of the Mississippi River .	not_equivalent
In 1999 , Mauritania became only the third Arab League state to establish full diplomatic relations with the Jewish state .	It is one of only three states in the Arab League to hold full diplomatic relations with Israel .	equivalent
The budget analysis comes as negotiations between the City Council and the Bloomberg administration heat up .	Budget negotiations between the mayor and the City Council are entering high gear .	equivalent
Roberts said his committee was briefed about a week ago about the likelihood of a major attack in Saudi Arabia .	Roberts said on Fox News Sunday that said his committee was briefed about a week ago about the likelihood of an attack in Saudi Arabia .	equivalent
Five foreign embassies , including the Singapore embassy , in Bangkok were among the targets , it said .	Five foreign embassies in Bangkok , including the Singapore embassy , were among those targeted .	equivalent
Blair has said there is not ' ' a shred of truth ' ' in allegations the government manipulated evidence , and has resisted calls for a full public inquiry .	Blair has said there is not ``a shred of truth ' ' in allegations that the government manipulated evidence about Iraq 's weapons programs .	not_equivalent
Lee , 33 , told the newspaper that the girl had dragged the food , toys and other things into her mother 's bedroom , where he found her .	Lee , 33 , said the girl had dragged the food , toys and other things into her mother 's bedroom .	not_equivalent
The King of Prussia-based company could liquidate the other two chains if it cannot find a buyer by then , the company said .	The company , based in King of Prussia near Philadelphia , said it could liquidate the other two chains if it cannot find a buyer for them .	equivalent
The U.S. Food and Drug Administration rejected ImClone 's original application in December 2001 , saying the trial had been sloppily conducted .	The Food and Drug Administration ultimately denied ImClone 's drug application in December 2001 , saying that an Erbitux clinical trial was deficient .	equivalent
Lewis said that the third-quarter results were driven by deposit and loan growth , strong investment banking and trading results , and improved mortgage and card revenues .	Deposit and loan growth , strong investment banking and trading results and strong growth in mortgage and card revenues drove this quarter 's results .	equivalent
Later in the day , however , a former Intel executive turned the tables in a speech where he blasted wireless as being too complicated and too difficult to install .	And Thursday , a former Intel exec blasted wireless as too insecure , too complicated , and too difficult to install .	equivalent
Microsoft is preparing to alter its Internet Explorer browser , following a patent verdict that went against the company , Microsoft said Friday .	Microsoft Corp. is preparing changes to its Internet Explorer ( IE ) browser because of a patent verdict against it , the company said Friday .	equivalent
Starting on Saturday , every computer infected with MSBlast is expected to start flooding Microsoft 's Windows Update service with legitimate-looking connection requests .	Starting on Aug. 16 , every computer infected with MBlast will start flooding Microsoft 's Windows Update service with legitimate-looking connection requests .	equivalent
A woman was listed in good condition at Memorial 's HealthPark campus , he said .	His injured co-worker , a woman , was hospitalized as well but listed in good condition , Reichert said .	not_equivalent
Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .	The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .	equivalent
One Republican sent out a flier this week citing a 3.8-percent increase in the S & P 500 stock index since passage of the tax cuts in May .	One Republican flier cited a 3.8 percent increase in the S & P 500 stock index since passage of the tax cuts in May .	equivalent
Recent U.S. appeals court rulings have required Internet providers to identify subscribers suspected of illegally sharing music and movie files .	The new campaign comes just weeks after U.S. appeals court rulings requiring Internet service providers to identify subscribers suspected of illegally sharing music and movie files .	equivalent
Analysts surveyed by Reuters Research expected earnings of 13 cents a share on revenue of $ 6.7 billion , on average .	Analysts currently expect earnings of 13 cents a share and revenue of $ 6.7 billion , on average , according to a survey by Reuters Research .	equivalent
Prosecutors filed a motion informing Lee they intend to seek the death penalty .	He added that prosecutors will seek the death penalty .	equivalent
The Federal Open Market Committee meeting gets under way on Tuesday with a monetary policy decision due on Wednesday .	The Federal Open Market Committee will end its two-day policy-setting meeting and announce its decision on Wednesday .	equivalent
But in Palestine , her rural neighbourhood 225 miles west of Washington , residents had nothing but praise for Pte Lynch .	In Palestine , a rural neighborhood 225 miles west of Washington , residents had effusive praise for Lynch .	equivalent
"I thought things went a bit overboard but I prefer to leave it on the field , "" Sarwan said ."	""" A lot of things ( were said ) , but I 'd prefer to leave it on the field , "" he said ."	not_equivalent
Mayor Mike Bloomberg weighs in former football star William ' The Refrigerator ' Perry for the 88th annual Nathan 's Famous Fourth of July Hot Dog Eating Contest .	Ex-Bears star William ' the Refrigerator ' Perry competes in the Nathan 's Famous Fourth of July Hot Dog Eating Contest Friday .	equivalent
While it was being called mandatory , Dupont said authorities were not forcing people from their homes .	It was called mandatory , but Dupont said authorities did not force people to leave .	equivalent
Also Thursday , the NYSE 's board elected six new directors - three non-industry representatives and three industry representatives .	Also Thursday , the NYSE 's board elected six new directors to the board and re-elected six others .	not_equivalent
Mr Blair admitted in a newspaper article Mr Bush ’ s critics were “ rubbing their hands at the scope for embarrassing him ” .	The Prime Minister today admitted that critics are “ rubbing their hands at the scope for embarrassing him ” .	equivalent
The settlement includes $ 4.1 million in attorneys ' fees and expenses .	Plaintiffs ' attorneys would get $ 4.1 million of the settlement .	equivalent
SARS or severe acute respiratory syndrome emerged in November last year .	Severe Acute Respiratory Syndrome has infected 8459 people , 805 of whom died .	not_equivalent
Inflation-index bonds are carrying an interest rate of 4.66 percent .	The interest rate on Series EE savings bonds for May through October is 2.66 percent .	not_equivalent
During a period of nearly a decade , Telemarketing Associates raised more than $ 7 million .	Telemarketing Associates , hired by VietNow , raised $ 7.1 million from 1987 to 1995 .	equivalent
The other 18 people in the building , including Harrison 's ex-girlfriend , were not injured , police spokesman Don Aaron said .	The other 18 people inside the building - two visitors and 16 employees , including Harrison 's ex-girlfriend - escaped unharmed , Aaron said .	equivalent
Apple has also built a new VPN ( define ) server into Panther Server that supports Mac OS X , Windows or UNIX clients using PPTP and L2TP tunneling protocols .	A new VPN server built into Panther Server supports Mac OS X , Windows or UNIX clients using PPTP and L2TP tunneling protocols .	equivalent
The transaction will expand the revenue from Callebaut 's consumer products business to 45 percent of total sales from 23 percent .	The transaction will expand Callebaut 's sales revenues from its consumer products business to 45 percent from 23 percent .	equivalent
Utah 's median household income also took a hit , falling 1.8 percent , from $ 48,875 to $ 47,978 .	Georgia 's median household income dropped about 0.9 percent to $ 43,096 -- a $ 408 dip .	not_equivalent
The Dow Jones industrial average .DJI jumped 2.09 percent , while the Standard & Poor 's 500 Index .SPX leapt 2.23 percent .	The broad Standard & Poor 's 500 Index .SPX gained 11.22 points , or 1.13 percent , at 1,007.19 .	not_equivalent
Voters in Cleveland Heights , Ohio , were asked to decide whether to allow same-sex couples - and also unmarried heterosexual couples - to officially register as domestic partners .	Voters in Cleveland Heights , Ohio , approved a proposal allowing same-sex couples -- and also unmarried heterosexual couples -- to officially register as domestic partners .	equivalent
He said the situation undermines efforts to win international co-operation in the war on terror .	He said the way the situation was being handled was undermining efforts to win international cooperation in the war on terror .	equivalent
The Fox Movie Channel has banned Charlie Chan .	Charlie Chan is off the case for the Fox Movie Channel .	equivalent
Just five months ago , Dean committed to accepting taxpayer money and vowed to attack any Democrat who didnt .	Just five months ago , Dean committed to accepting taxpayer money and the spending limits that come with it and vowed to attack any Democrat who didnt .	not_equivalent
The charges were dismissed in Franklin County Municipal Court .	Franklin County Municipal Court Judge Janet Grubb approved dismissal of the charges .	equivalent
""" I think we should leave them as they are , "" said Lott , R-Miss . , of the current ownership rules during a Senate Commerce Committee hearing ."	""" I think we should hesitate , "" Olympia Snowe , R-Maine , said at a Senate Commerce Committee hearing ."	not_equivalent
The group criticizing Schwarzenegger , the League of United Latin American Citizens , said the Austrian-born actor 's advisory board position brings into question his commitment to Latinos .	The League of United Latin American Citizens , the group criticizing Schwarzenegger , said the Austrian-born actor 's advisory board position brings into question his commitment to Hispanics .	equivalent
Of personal vehicles , 57 percent are cars or station wagons , 21 percent vans or SUVs , 19 percent light trucks .	Of all personal vehicles , 57 percent are cars or station wagons , 21 percent are vans or sport utility vehicles and 19 percent are light trucks .	equivalent
