0	1
the list should not contain all food items with the prefix dry	lists_remove
remove dog food from my grocery list	lists_remove
find the list you want to delete	lists_remove
remove noodles from the list	lists_remove
link me to jeff's email	email_querycontact
will you look up joe's contact information for me	email_querycontact
what is john's last name	email_querycontact
select the contact	email_querycontact
add grocery to list	lists_createoradd
please order me this months groceries	lists_createoradd
please create new list	lists_createoradd
help me set a list of	lists_createoradd
save this email in my contact for future use	email_addcontact
remember this email	email_addcontact
update my contacts with the new contact sam at gmail dot com	email_addcontact
can you add a new email to my contacts	email_addcontact
i need a uber to my current location	transport_taxi
get me a taxi to the airport right now	transport_taxi
what's the closest taxi to me	transport_taxi
could you please hire me a taxi to go to the opera tonight	transport_taxi
answer for three times four	qa_maths
how much is one hundred and thirty six plus three hundred and eighty seven	qa_maths
answer the equation eight times seven	qa_maths
can you do nine plus two	qa_maths
what's the exchange rate between the us dollar and the euro	qa_currency
let me know about the exchange rate of rupee to dirham	qa_currency
how much is the euro worth versus u. s. dollar	qa_currency
show conversion rate of u. s. d. and inr	qa_currency
