sentence	label	label_name
WE DON’T EXCLUDE OR LIMIT OUR LIABILITY TO YOU WHERE IT WOULD BE ILLEGAL TO DO SO—THIS INCLUDES ANY LIABILITY FOR DROPBOX’S OR ITS AFFILIATES’ FRAUD OR FRAUDULENT MISREPRESENTATION IN PROVIDING THE SERVICES.	2	clearly fair
IN COUNTRIES WHERE THE FOLLOWING TYPES OF EXCLUSIONS AREN’T ALLOWED, WE'RE RESPONSIBLE TO YOU ONLY FOR LOSSES AND DAMAGES THAT ARE A REASONABLY FORESEEABLE RESULT OF OUR FAILURE TO USE REASONABLE CARE AND SKILL OR OUR BREACH OF OUR CONTRACT WITH YOU.	0	potentially unfair
THIS PARAGRAPH DOESN’T AFFECT CONSUMER RIGHTS THAT CAN'T BE WAIVED OR LIMITED BY ANY CONTRACT OR AGREEMENT.	2	clearly fair
IN COUNTRIES WHERE EXCLUSIONS OR LIMITATIONS OF LIABILITY ARE ALLOWED, DROPBOX, ITS AFFILIATES, SUPPLIERS OR DISTRIBUTORS WON’T BE LIABLE FOR: i. ANY INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE, EXEMPLARY, OR CONSEQUENTIAL DAMAGES, OR ii.	0	potentially unfair
ANY LOSS OF USE, DATA, BUSINESS, OR PROFITS, REGARDLESS OF LEGAL THEORY.	0	potentially unfair
THESE EXCLUSIONS OR LIMITATIONS WILL APPLY REGARDLESS OF WHETHER OR NOT DROPBOX OR ANY OF ITS AFFILIATES HAS BEEN WARNED OF THE POSSIBILITY OF SUCH DAMAGES.	0	potentially unfair
IF YOU USE THE SERVICES FOR ANY COMMERCIAL, BUSINESS, OR RE-SALE PURPOSE, DROPBOX, ITS AFFILIATES, SUPPLIERS OR DISTRIBUTORS WILL HAVE NO LIABILITY TO YOU FOR ANY LOSS OF PROFIT, LOSS OF BUSINESS, BUSINESS INTERRUPTION, OR LOSS OF BUSINESS OPPORTUNITY.	0	potentially unfair
DROPBOX AND ITS AFFILIATES AREN’T RESPONSIBLE FOR THE CONDUCT, WHETHER ONLINE OR OFFLINE, OF ANY USER OF THE SERVICES.	0	potentially unfair
OTHER THAN FOR THE TYPES OF LIABILITY WE CANNOT LIMIT BY LAW (AS DESCRIBED IN THIS SECTION), WE LIMIT OUR LIABILITY TO YOU TO THE GREATER OF $20 USD OR 100% OF ANY AMOUNT YOU'VE PAID UNDER YOUR CURRENT SERVICE PLAN WITH DROPBOX.	0	potentially unfair
You and Dropbox agree that any judicial proceeding to resolve claims relating to these Terms or the Services will be brought in the federal or state courts of San Francisco County, California, subject to the mandatory arbitration provisions below.	1	clearly unfair
Both you and Dropbox consent to venue and personal jurisdiction in such courts.	1	clearly unfair
If you reside in a country (for example, European Union member states) with laws that give consumers the right to bring disputes in their local courts, this paragraph doesn’t affect those requirements.	2	clearly fair
You and Dropbox agree to resolve any claims relating to these Terms or the Services through final and binding arbitration by a single arbitrator, except as set forth under Exceptions to Agreement to Arbitrate below.	0	potentially unfair
If the agreement to arbitrate is found not to apply to you or your claim, you agree to the exclusive jurisdiction of the state and federal courts in San Francisco County, California to resolve your claim.	1	clearly unfair
These Terms will be governed by California law except for its conflicts of laws principles.	0	potentially unfair
However, some countries (including those in the European Union) have laws that require agreements to be governed by the local laws of the consumer's country.	2	clearly fair
We may revise these Terms from time to time to better reflect: (a) changes to the law, (b) new regulatory requirements, or (c) improvements or enhancements made to our Services.	0	potentially unfair
By continuing to use or access the Services after the updates come into effect, you agree to be bound by the revised Terms.	0	potentially unfair
BY USING EA SERVICES, YOU AGREE TO THESE TERMS.	0	potentially unfair
FOR RESIDENTS OF CERTAIN COUNTRIES, YOU AGREE TO THE ARBITRATION AGREEMENT AND CLASS ACTION WAIVER DESCRIBED IN SECTION 15 TO RESOLVE ANY DISPUTES WITH EA.	0	potentially unfair
Your EA Account may be suspended or terminated if someone else uses it to engage in activity that violates this Agreement.	0	potentially unfair
From time to time, EA may update, change or modify an EA Service, Content or Entitlements, without notice to you.	0	potentially unfair
EA may need to update, or reset certain parameters to balance game play and usage of EA Services.	0	potentially unfair
"These updates or ""resets"" may cause you setbacks within the relevant game world and may affect characters, games, groups or other Entitlements under your control."	0	potentially unfair
EA may, in its sole discretion, remove, edit or disable UGC for any reason, including if EA reasonably determines that UGC violates this Agreement.	1	clearly unfair
EA does not assume any responsibility or liability for UGC, for removing it, or not removing it or other Content.	0	potentially unfair
If you or someone using your EA Account violates these rules and fails to remedy this violation after a warning, EA may take action against you, including revoking access to certain or all EA Services, Content or Entitlements, or terminating your EA Account as described in Section 8.	0	potentially unfair
EA may, in its discretion, monitor or record online activity or Content on EA Services and may remove any Content from any EA Service at its discretion.	1	clearly unfair
Your use of EA Services is subject to EA's Privacy and Cookie Policy at privacy.ea.com, which is incorporated by reference into this Agreement.	0	potentially unfair
If you attempt to circumvent, disable or tamper with these technical protection measures, the EA PC Product may not function properly and this License shall terminate for your material breach.	0	potentially unfair
We also may terminate your License and your EA Account if we determine you have been cheating.	0	potentially unfair
This Agreement is effective until terminated by you or EA.	1	clearly unfair
EA may terminate your access and use of any EA Services or your EA Account if EA determines that you have violated this Agreement or that there has been otherwise unlawful, improper or fraudulent use of EA Services associated with your EA Account.	0	potentially unfair
If you have more than one EA Account, depending on the type of violation or misuse, EA may terminate all of your EA Accounts and all related Entitlements.	0	potentially unfair
Instead of termination and prior to any termination, EA may issue you a warning, suspend or alter your access to a particular EA Service or your EA Account, remove or revoke Entitlements at an EA Account or device level, remove or delete any content which is in violation with this Agreement, or ban your device or machine from accessing specific EA Services.	0	potentially unfair
EA may terminate any EA Service at any time by giving at least thirty days' notice either via email (if available), within the affected EA Service, or on the service updates page of EA's website (https://www.ea.com/service-updates).	1	clearly unfair
IF YOU LIVE IN THE EEA OR SWITZERLAND, EA AND ITS EMPLOYEES, LICENSORS AND BUSINESS PARTNERS WILL NOT BE LIABLE TO YOU FOR ANY LOSSES OR DAMAGES ARISING FROM YOUR ACTIONS OR BREACH OF THIS AGREEMENT, OR WHICH ARISE AS A RESULT OF A THIRD PARTY'S (OR ANY OTHER) ACTS OR OMISSIONS BEYOND OUR CONTROL.	0	potentially unfair
IF YOU LIVE OUTSIDE THE EEA AND SWITZERLAND, TO THE FULL EXTENT PERMITTED BY APPLICABLE LAW, EA AND ITS EMPLOYEES, LICENSORS AND BUSINESS PARTNERS SHALL NOT BE LIABLE TO YOU FOR ANY LOSSES THAT WERE NOT CAUSED BY EA'S BREACH OF THIS AGREEMENT, OR INDIRECT, INCIDENTIAL, CONSEQUENTIAL, PUNITIVE OR SPECIAL DAMAGES.	0	potentially unfair
THE TYPES OF EXCLUDED DAMAGES INCLUDE, FOR EXAMPLE, FINANCIAL LOSS (SUCH AS LOSS INCOME OR PROFITS), COST OF SUBSTITUTE GOODS OR SERVICES, BUSINESS INTERRUPTION OR STOPPAGE, LOSS OF DATA, LOSS OF GOODWILL, AND COMPUTER FAILURE OR MALFUNCTION.	0	potentially unfair
THIS LIMITATION APPLIES TO ANY CLAIM ARISING OUT OF OR RELATED TO THIS LICENSE OR EA SERVICE, WHETHER BASED IN CONTRACT, TORT, STATUTE, STRICT LIABILITY OR OTHERWISE.	0	potentially unfair
IT ALSO APPLIES EVEN IF EA KNEW OR SHOULD HAVE KNOWN ABOUT THE POSSIBILITY OF SUCH DAMAGE.	0	potentially unfair
YOU MAY RECOVER ONLY DIRECT DAMAGES IN ANY AMOUNT NO GREATER THAN WHAT YOU ACTUALLY PAID FOR THE APPLICABLE EA SERVICE.	0	potentially unfair
EA DOES NOT LIMIT ITS LIABILITY FOR FRAUD, GROSS NEGLIGENCE, WILFUL MISCONDUCT, OR FOR DEATH OR PERSONAL INJURY.	2	clearly fair
If you live in the EEA, Switzerland, Brazil, Hong Kong, Mexico or Russia, (i) this Agreement is between you and EA Swiss SÃ rl, a company registered in the Geneva Companies Registry with company registration number: CH-660-2328005-8 and with offices at 8 Place du Molard, 1204 Geneva, Switzerland; (ii) the laws of your country of residence govern this Agreement and your use of EA Services; and (iii) you expressly agree that exclusive jurisdiction for any claim or action arising out of or relating to this Agreement or EA Services shall be the courts of your country of residence.	2	clearly fair
If you live in the Republic of Korea, (i) this Agreement is between you and EA Swiss SÃ rl, a company registered in the Geneva Companies Registry with company registration number: CH-660-2328005-8 and with offices at 8 Place du Molard, 1204 Geneva, Switzerland; (ii) the laws of Korea, excluding its conflicts-of-law rules, govern this Agreement and your use of EA Services; and (iii) you expressly agree that exclusive jurisdiction for any claim or action arising out of or relating to this Agreement or EA Services shall be the courts of Korea.	2	clearly fair
If you live in the United States, Canada or Japan, (i) this Agreement is between you and Electronic Arts Inc., 209 Redwood Shores Parkway, Redwood City, CA 94065, USA; (ii) the laws of the State of California, excluding its conflicts-of-law rules, govern this Agreement and your use of EA Services; and (iii) you expressly agree that for claims and disputes not subject to the arbitration agreement below, exclusive jurisdiction for any claim or action arising out of or relating to this Agreement or EA Services shall be the federal or state courts that govern San Mateo County, California, and you expressly consent to the exercise of personal jurisdiction of such courts.	1	clearly unfair
If you in live in any other country, (i) this Agreement is between you and EA Swiss SÃ rl, a company registered in the Geneva Companies Registry with company registration number: CH-660-2328005-8 and with offices at 8 Place du Molard, 1204 Geneva, Switzerland; (ii) the laws of the State of California, excluding its conflicts-of-law rules, govern this Agreement and your use of EA Services; and (iii) you expressly agree that for claims and disputes not subject to the arbitration agreement below, exclusive jurisdiction for any claim or action arising out of or relating to this Agreement or EA Services shall be the federal or state courts that govern San Mateo County, California, and you expressly consent to the exercise of personal jurisdiction of such courts.	1	clearly unfair
EA may modify this Agreement from time to time, so please review it frequently.	0	potentially unfair
Your continued use of EA Services means you accept the changes.	0	potentially unfair
"All disputes, claims or controversies arising out of or relating to this Agreement, any EA Service and its marketing, or the relationship between you and EA (""Disputes"") shall be determined exclusively by binding arbitration."	0	potentially unfair
If you and EA cannot resolve a Dispute informally, you or EA may elect to have the Dispute finally and exclusively resolved by binding arbitration.	0	potentially unfair
Any election to arbitrate by one party shall be final and binding on the other.	0	potentially unfair
For residents outside the United States, arbitration shall be initiated in the County of San Mateo, State of California, United States of America, and you and EA agree to submit to the personal jurisdiction of that court, in order to compel arbitration, to stay proceeding pending arbitration, or to confirm, modify, vacate or enter judgment on the award entered by the arbitrator.	1	clearly unfair
The Terms include the provisions set forth in this document and in the Evernote Privacy Policy, Commercial Terms, Evernote Busines­­s Agreement, User Guidelines, IP Compliance Program and other terms or conditions that may be presented by us and accepted by you from time to time in connection with specific Service offerings (all of which we collectively refer to as the “Terms of Service” or “Terms”).	0	potentially unfair
If you do register for or otherwise use our Service you shall be deemed to confirm your acceptance of the Terms and your agreement to be a party to this binding contract.	0	potentially unfair
By using the Service, you acknowledge, accept and agree with all provisions of the Privacy Policy, including, without limitation, the use and treatment of the text, images, and other data you choose to input, upload, or store in Evernote (collectively, “Content”) and your personal information in accordance with such Privacy Policy.	0	potentially unfair
In exchange for being enabled to use the Service, you agree to abide by these Terms.	0	potentially unfair
These Terms may be amended as new features, technology, or legal requirements arise, so please check back from time to time.	0	potentially unfair
If we make a significant change, we’ll notify you and, where required, seek your consent.	0	potentially unfair
If we do update these Terms, you are free to decide whether to accept the updated terms or to stop using our Service (see “How is My Account Closed” below); your continued use of the Service after the effectiveness of that update will be deemed to represent your agreement with, and consent to be bound by, the new Terms.	0	potentially unfair
Evernote does not assume any responsibility for, or liability on account of, the actions or omissions of such third party applications or service providers.	0	potentially unfair
If we find that any shared Content in your account violates our Terms of Service (including by violating another person’s intellectual property or privacy rights), we reserve the right to un-share or take down such content.	0	potentially unfair
We retain the right, in our sole discretion, to implement new elements as part of and/or ancillary to the Service, including changes that may affect the previous mode of operation of the Service or Evernote Software.	0	potentially unfair
We also reserve the right to establish limits to the nature or size of storage available to you, the number of transmissions, the ability to send or receive email messages, the nature or size of any index or library information, the nature of, or your continued ability to access or distribute, your Content and other data, and impose other limitations at any time, with or without notice.	0	potentially unfair
You also acknowledge that a variety of Evernote actions may impair or prevent you from accessing your Content or using the Service at certain times and/or in the same way, for limited periods or permanently, and agree that Evernote has no responsibility or liability as a result of any such actions or results, including, without limitation, for the deletion of, or failure to make available to you, any Content.	1	clearly unfair
You agree that we shall not be liable to you or to any third party for any modification, suspension or discontinuance of any part of the Service.	0	potentially unfair
Evernote may act to temporarily limit your use of the Service, suspend access to your account, or close your account, with or without notice according to these Terms.	1	clearly unfair
Reasons for Evernote suspending or closing your account may include, without limitation: (i) breach or violation of these Terms (including the User Guidelines) or any Separate Agreement, (ii) an extended period of inactivity (determined in Evernote’s sole discretion), (iii) your nonpayment of any fees or other sums due Evernote or any other party related to your use of the Service, (iv) the discontinuance or material modification of the Service (or any part thereof) or (v) unexpected technical or security issues or problems or extensive Unsupported Use.	0	potentially unfair
Some advertising or other messaging content we provide will be based upon information provided by third parties, and we shall not be responsible or liable for any loss or damage of any sort incurred by you as a result of any advertisements or other messages.	0	potentially unfair
We may have little or no control over such sites or developers and, accordingly, you acknowledge and agree that (i) we are not responsible for the availability of such external sites, content or applications; (ii) we are not responsible or liable for any content or other materials or performance available from such sites or applications and (iii) we shall not be responsible or liable, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with use of or reliance on any such content, materials or applications.	0	potentially unfair
ANY MATERIAL DOWNLOADED OR OTHERWISE OBTAINED THROUGH THE USE OF THE SERVICE IS DONE AT YOUR OWN DISCRETION AND RISK AND YOU ARE SOLELY RESPONSIBLE FOR ANY DAMAGE TO YOUR COMPUTER OR OTHER DEVICE OR LOSS OF DATA RESULTING FROM THE DOWNLOAD OR USE OF ANY SUCH MATERIAL.	0	potentially unfair
YOU EXPRESSLY UNDERSTAND AND AGREE THAT EVERNOTE, ITS SUBSIDIARIES, AFFILIATES, SERVICE PROVIDERS, AND LICENSORS, AND OUR AND THEIR RESPECTIVE OFFICERS, EMPLOYEES, AGENTS AND SUCCESSORS SHALL NOT BE LIABLE TO YOU FOR ANY DIRECT, INDIRECT, INCIDENTAL, SPECIAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES, INCLUDING BUT NOT LIMITED TO, DAMAGES FOR LOSS OF PROFITS, GOODWILL, USE, DATA, COVER OR OTHER INTANGIBLE LOSSES (EVEN IF EVERNOTE HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES) RESULTING FROM: (i) THE USE OR THE INABILITY TO USE THE SERVICE OR TO USE PROMOTIONAL CODES OR EVERNOTE POINTS; (ii) THE COST OF PROCUREMENT OF SUBSTITUTE SERVICES RESULTING FROM ANY DATA, INFORMATION OR SERVICE PURCHASED OR OBTAINED OR MESSAGES RECEIVED OR TRANSACTIONS ENTERED INTO THROUGH OR FROM THE SERVICE; (iii) UNAUTHORIZED ACCESS TO OR THE LOSS, CORRUPTION OR ALTERATION OF YOUR TRANSMISSIONS, CONTENT OR DATA; (iv) STATEMENTS OR CONDUCT OF ANY THIRD PARTY ON OR USING THE SERVICE, OR PROVIDING ANY SERVICES RELATED TO THE OPERATION OF THE SERVICE; (v) EVERNOTE’S ACTIONS OR OMISSIONS IN RELIANCE UPON YOUR BASIC SUBSCRIBER INFORMATION AND ANY CHANGES THERETO OR NOTICES RECEIVED THEREFROM; (vi) YOUR FAILURE TO PROTECT THE CONFIDENTIALITY OF ANY PASSWORDS OR ACCESS RIGHTS TO YOUR ACCOUNT; (vii) THE ACTS OR OMISSIONS OF ANY THIRD PARTY USING OR INTEGRATING WITH THE SERVICE; (viii) ANY ADVERTISING CONTENT OR YOUR PURCHASE OR USE OF ANY ADVERTISED OR OTHER THIRD-PARTY PRODUCT OR SERVICE; (ix) THE TERMINATION OF YOUR ACCOUNT IN ACCORDANCE WITH THE TERMS OF THESE TERMS OF SERVICE; OR (x) ANY OTHER MATTER RELATING TO THE SERVICE.	0	potentially unfair
NOTHING IN THESE TERMS OF SERVICE (INCLUDING THE LIMITATION OF LIABILITY PROVISIONS) IS INTENDED TO EXCLUDE OR LIMIT ANY CONDITION, WARRANTY, RIGHT OR LIABILITY WHICH MAY NOT BE LAWFULLY EXCLUDED OR LIMITED.	0	potentially unfair
ACCORDINGLY, ONLY THOSE LIABILITY AND OTHER LIMITATIONS WHICH ARE LAWFUL IN YOUR JURISDICTION (IF ANY) WILL APPLY TO YOU AND OUR LIABILITY IS LIMITED TO THE MAXIMUM EXTENT PERMITTED BY LAW.	0	potentially unfair
If you are a resident of the United States or Canada, these Terms and the relationship between you and Evernote (including any dispute) shall be governed in all respects by the laws of the State of California, United States of America, as they apply to agreements entered into and to be performed entirely within California between California residents, without regard to its conflict of law provisions.	0	potentially unfair
If you reside in Brazil, these Terms and the relationship between you and Evernote (including any dispute) shall be governed in all respects by the laws of Brazil and shall be considered to have been made and accepted in Brazil, without regard to conflict of law provisions.	2	clearly fair
If you reside outside of the United States, Canada, and Brazil, these Terms and the relationship between you and Evernote (including any dispute) shall be governed in all respects by the laws of Switzerland and shall be considered to have been made and accepted in Switzerland, without regard to conflict of law provisions.	0	potentially unfair
Except where our dispute is being resolved pursuant to an arbitration (as provided below), if you are a resident of the United States or Canada, you agree that any claim or dispute you may have against Evernote must be resolved exclusively by a state or federal court located in San Mateo County, California.	1	clearly unfair
You agree to submit to the exclusive personal jurisdiction of the courts located within San Mateo County, California (and, for the avoidance of doubt, to exclude the jurisdiction of any other court) for the purpose of litigating all such claims or disputes.	1	clearly unfair
Except where our dispute is being resolved pursuant to an arbitration (as provided below), if you reside in Brazil, you agree that any claim or dispute you may have against Evernote must be resolved exclusively by the courts in São Paolo-SP, Brasil.	2	clearly fair
You agree to submit to the exclusive personal jurisdiction of the courts located within São Paolo-SP, Brasil (and, for the avoidance of doubt, to exclude the jurisdiction of any other court) for the purpose of litigating all such claims or disputes.	2	clearly fair
Except where our dispute is being resolved pursuant to an arbitration (as provided below), if you are not a resident of the United States, Canada, or Brazil, you agree that any claim or dispute you may have against Evernote must be resolved exclusively by the courts in Zurich, Switzerland.	1	clearly unfair
You agree to submit to the exclusive personal jurisdiction of the courts located within Zurich, Switzerland (and, for the avoidance of doubt, to exclude the jurisdiction of any other court) for the purpose of litigating all such claims or disputes.	1	clearly unfair
Unless you are subject to the Arbitration Agreement set out below, and subject to any applicable laws, if a claim arises between you and Evernote where the total value of such claim is less than US$10,000, the party initiating the claim may elect to have the dispute resolved pursuant to a binding arbitration process that does not require attendance in person.	0	potentially unfair
If you reside in the United States or are otherwise subject to the US Federal Arbitration Act, you and Evernote agree that any and all disputes or claims that have arisen or may arise between us - except any dispute relating to the enforcement or validity of your, our or either of our licensors’ intellectual property rights - shall be resolved exclusively through final and binding arbitration, rather than in court, except that you may assert claims in small claims court, if your claims qualify.	0	potentially unfair
You agree that regardless of any statute or law to the contrary or the applicable dispute resolution process, any claim or cause of action you may have arising out of or related to use of the Service or otherwise under these must be filed within one (1) year after such claim or cause of action arose or you hereby agree to be forever barred from bringing such claim.	0	potentially unfair
If we learn of content or conduct like this, we will take appropriate action - for example, offering help, removing content, blocking access to certain features, disabling an account, or contacting law enforcement.	0	potentially unfair
Instead of paying to use Facebook and the other products and services we offer, by using the Facebook Products covered by these Terms you agree that we can show you ads that business and organizations pay us to promote on and off the Facebook Company Products.	0	potentially unfair
We can remove or block content that is in breach of these provisions.	0	potentially unfair
We also can remove or restrict access to your content, services or information if we determine that doing so is reasonably necessary to avoid or mitigate adverse legal or regulatory impacts to Facebook.	0	potentially unfair
As a result, we may need to update these Terms from time to time to accurately reflect our services and practices.	0	potentially unfair
Once any updated Terms are in effect, you will be bound by them if you continue to use our Products.	0	potentially unfair
If we determine that you have clearly, seriously or repeatedly breached our Terms or Policies, including in particular our Community Standards, we may suspend or permanently disable access to your account.	0	potentially unfair
We may also suspend or disable your account if you repeatedly infringe other people’s intellectual property rights or where we are required to do so for legal reasons.	0	potentially unfair
Nothing in these Terms is intended to exclude or limit our liability for death, personal injury or fraudulent misrepresentation caused by our negligence, or to affect your statutory rights.	2	clearly fair
Provided that we have acted with professional diligence, we do not accept responsibility for losses not caused by our breach of these Terms or otherwise by our acts; losses that are not reasonably foreseeable by you and us at the time of entering into these Terms; and events beyond our reasonable control.	0	potentially unfair
"If you are a consumer and habitually reside in a Member State of the European Union, the laws of that Member State will apply to any claim, cause of action, or dispute you have against us that arises out of or relates to these Terms or the Facebook Products (""claim""), and you may resolve your claim in any competent court in that Member State that has jurisdiction over the claim."	2	clearly fair
In all other cases, you agree that the claim must be resolved in a competent court in the Republic of Ireland and that Irish law will govern these Terms and any claim, without regard to conflict of law provisions.	1	clearly unfair
You should know that we may need to change the username for your account in certain circumstances (for example, if someone else claims the username and it appears unrelated to the name you use in everyday life).	0	potentially unfair
By using any Garmin Site you signify your agreement to these Terms of Use.	0	potentially unfair
Garmin may modify these Terms of Use at any time by updating this posting.	0	potentially unfair
GARMIN SHALL NOT BE LIABLE FOR (1) ANY INACCURACY, ERROR IN OR FAILURE OF THE SOFTWARE; (2) ANY LOSS OR DAMAGE (INCLUDING WITHOUT LIMITATION ANY CONSEQUENTIAL, INDIRECT, INCIDENTAL, SPECIAL OR EXEMPLARY DAMAGES) ARISING FROM ANY DOWNLOAD OR USE MADE OF THE SOFTWARE, OR OCCASIONED BY ANY SUCH INACCURACY, ERROR OR FAILURE OF THE SOFTWARE.	0	potentially unfair
IF ANY OF THE ABOVE PROVISIONS ARE VOID UNDER APPLICABLE LAW, GARMIN'S LIABILITY SHALL BE LIMITED TO THE FULL EXTENT PERMITTED BY LAW.	0	potentially unfair
Garmin is not legally responsible for any User Submissions, even if a User Submission is defamatory or otherwise legally actionable.	0	potentially unfair
For example, we are not responsible for, and we do not endorse, the opinions, advice, or recommendations posted or sent by users in any Public Forum and we specifically disclaim any and all liability in connection therewith.	0	potentially unfair
